Rang	Artist	Song	Year
421	The Coasters	Young Blood	2008
422	The Four Tops	Can't Help Myself	1965
423	Don Henley	The Boys of Summer	1984
424	The Notorious B.I.G.	Juicy	1994
425	N.W.A	Fuck tha Police	1988
426	Crosby, Stills & Nash	Suite: Judy Blue Eyes	1969
427	Dr. Dre	Nuthin' but a 'G' Thang	1992
428	The Isley Brothers	It's Your Thing	1969
429	Billy Joel	Piano Man	1973
430	Elvis Presley	Blue Suede Shoes	1956
431	The Smiths	William, It Was Really Nothing	1984
432	Green Day	American Idiot	2004
433	The Rolling Stones	Tumbling Dice	1972
434	Deep Purple	Smoke on the Water	1973
435	U2	New Year's Day	1983
436	Solomon Burke	Everybody Needs Somebody to Love	1964
437	The Clash	(White Man) In Hammersmith Palais	1978
438	Fats Domino	Ain't That a Shame	1955
439	Gladys Knight and the Pips	Midnight Train to Georgia	1973
440	Led Zeppelin	Ramble On	1969
441	Wilson Pickett	Mustang Sally	1966
442	Love	Alone Again Or	1968
443	The Rolling Stones	Beast of Burden	1978
444	Elvis Presley	Love Me Tender	1956
445	The Stooges	I Wanna Be Your Dog	1969
446	Salt-N-Pepa	Push It	1987
447	John Cougar Mellencamp	Pink Houses	1983
448	50 Cent	In Da Club	2003
449	The Del-Vikings	Come Go With Me	1956
450	Bob Marley and the Wailers	I Shot the Sheriff	1973
451	Sonny and Cher	I Got You Babe	1965
452	Nirvana	Come as You Are	1992
453	Toots and the Maytals	Pressure Drop	1970
454	The Shangri-Las	Leader of the Pack	1964
455	The Velvet Underground	Heroin	1967
456	The Beatles	Penny Lane	1967
457	Chubby Checker	The Twist	1960
458	Sam Cooke	Cupid	1961
459	Guns N' Roses	Paradise City	1989
460	George Harrison	My Sweet Lord	1971
461	Ramones	Sheena Is a Punk Rocker	1977
462	Nirvana	All Apologies	1993
463	Sam and Dave	Soul Man	1967
464	Prince and the Revolution	Kiss	1986
465	Muddy Waters	Rollin' Stone	1950
466	Missy Elliott	Get Ur Freak On	2001
467	Jay-Z Featuring UGK	Big Pimpin'	2000
468	The Staple Singers	Respect Yourself	1971
469	The Beatles	Rain	1966
470	The Four Tops	Standing in the Shadows of Love	1966
471	Cheap Trick	Surrender	1978
472	Del Shannon	Runaway	1961
473	Guns N' Roses	Welcome to the Jungle	1987
474	Van Morrison	Into the Mystic	1970
475	The Supremes	Where Did Our Love Go	1964
476	Aretha Franklin	Do Right Woman — Do Right Man	1967
477	The Smiths	How Soon Is Now?	1985
478	The Strokes	Last Nite	2001
479	Foreigner	I Want to Know What Love Is	1984
480	Beastie Boys	Sabotage	1994
481	Rick James	Super Freak	1981
482	Kelly Clarkson	Since U Been Gone	2005
483	Jefferson Airplane	White Rabbit	1967
484	Justin Timberlake	Cry Me a River	2002
485	LaBelle	Lady Marmalade	1974
486	David Bowie	Young Americans	1975
487	Alice Cooper	I'm Eighteen	1970
488	The Cure	Just Like Heaven	1987
489	The Drifters	Under the Boardwalk	1964
490	Coldplay	Clocks	2002
491	Joan Jett & the Blackhearts	I Love Rock 'n' Roll	1982
492	Gloria Gaynor	I Will Survive	1978
493	MGMT	Time to Pretend	2009
494	R. Kelly	Ignition (Remix)	2003
495	The Rolling Stones	Brown Sugar	1971
496	Jackson Browne	Running on Empty	1978
497	Bruce Springsteen	The Rising	2002
498	The Rolling Stones	Miss You	1978
499	Weezer	Buddy Holly	1994
500	Smokey Robinson and The Miracles	Shop around	1960
